iter, hl, mif1, avp, log_loss, hl_val, mif1_val, avp_val, log_loss_val, sparsity, HV_mu, HV_max, HV_min, HV_std, weight_mu, weight_std
1, 0.389441, 0.916243, 0.505404, 4.821405, 0.389420, 0.916412, 0.504281, 4.810418, 91380.594713, 0.028267, 0.028267, 0.028267, 0.000000, -0.002217, 1.003305
2, 0.407377, 0.907790, 0.461095, 4.482767, 0.407527, 0.908094, 0.460398, 4.474616, 94711.064661, 0.030457, 0.032647, 0.028267, 0.002190, 0.001022, 1.040819
3, 0.329044, 0.906410, 0.412543, 4.522708, 0.328833, 0.906441, 0.411576, 4.506438, 99286.061904, 0.033930, 0.040876, 0.028267, 0.005227, 0.000321, 1.090514
4, 0.205463, 0.884454, 0.423389, 6.085941, 0.205484, 0.884611, 0.422519, 6.069897, 102544.677568, 0.038681, 0.052936, 0.028267, 0.009393, 0.003352, 1.127779
5, 0.205463, 0.884454, 0.423389, 6.085941, 0.205484, 0.884611, 0.422519, 6.069897, 102544.677568, 0.039765, 0.052936, 0.028267, 0.008676, 0.003352, 1.127779
6, 0.205463, 0.884454, 0.423389, 6.085941, 0.205484, 0.884611, 0.422519, 6.069897, 102544.677568, 0.041984, 0.053083, 0.028267, 0.009347, 0.003352, 1.127779
7, 0.264129, 0.885382, 0.443635, 4.306648, 0.264042, 0.885431, 0.442275, 4.293954, 73228.721852, 0.043784, 0.054580, 0.028267, 0.009711, -0.001739, 0.803613
8, 0.205463, 0.884454, 0.423389, 6.085941, 0.205484, 0.884611, 0.422519, 6.069897, 102544.677568, 0.045276, 0.055717, 0.028267, 0.009905, 0.003352, 1.127779
9, 0.205463, 0.884454, 0.423389, 6.085941, 0.205484, 0.884611, 0.422519, 6.069897, 102544.677568, 0.046318, 0.055717, 0.028267, 0.009792, 0.003352, 1.127779
10, 0.154058, 0.842264, 0.391112, 5.466671, 0.154020, 0.842515, 0.390320, 5.453962, 123339.405823, 0.049811, 0.081247, 0.028267, 0.014004, -0.002179, 1.354213
11, 0.247699, 0.880950, 0.395847, 4.605752, 0.247644, 0.881055, 0.394962, 4.592003, 91870.285190, 0.050658, 0.081247, 0.028267, 0.013618, -0.003738, 1.009009
12, 0.154058, 0.842264, 0.391112, 5.466671, 0.154020, 0.842515, 0.390320, 5.453962, 123339.405823, 0.052072, 0.081247, 0.028267, 0.013857, -0.002179, 1.354213
13, 0.154058, 0.842264, 0.391112, 5.466671, 0.154020, 0.842515, 0.390320, 5.453962, 123339.405823, 0.053172, 0.081247, 0.028267, 0.013847, -0.002179, 1.354213
14, 0.177326, 0.839714, 0.389296, 4.928234, 0.177312, 0.840053, 0.388445, 4.916635, 103463.735594, 0.055134, 0.081247, 0.028267, 0.015104, -0.003399, 1.137659
15, 0.154058, 0.842264, 0.391112, 5.466671, 0.154020, 0.842515, 0.390320, 5.453962, 123339.405823, 0.057099, 0.084605, 0.028267, 0.016339, -0.002179, 1.354213
16, 0.154058, 0.842264, 0.391112, 5.466671, 0.154020, 0.842515, 0.390320, 5.453962, 123339.405823, 0.058671, 0.084605, 0.028267, 0.016951, -0.002179, 1.354213
17, 0.212962, 0.836980, 0.383071, 5.668526, 0.212936, 0.837190, 0.382256, 5.656891, 114275.507389, 0.060405, 0.088149, 0.028267, 0.017848, 0.000418, 1.255330
18, 0.154058, 0.842264, 0.391112, 5.466671, 0.154020, 0.842515, 0.390320, 5.453962, 123339.405823, 0.062111, 0.091106, 0.028267, 0.018717, -0.002179, 1.354213
19, 0.154058, 0.842264, 0.391112, 5.466671, 0.154020, 0.842515, 0.390320, 5.453962, 123339.405823, 0.063748, 0.093206, 0.028267, 0.019496, -0.002179, 1.354213
20, 0.147252, 0.813822, 0.374456, 5.930006, 0.147253, 0.814081, 0.373711, 5.917947, 123974.463747, 0.065397, 0.096741, 0.028267, 0.020317, -0.000338, 1.362815
21, 0.154058, 0.842264, 0.391112, 5.466671, 0.154020, 0.842515, 0.390320, 5.453962, 123339.405823, 0.067090, 0.100944, 0.028267, 0.021223, -0.002179, 1.354213
22, 0.154058, 0.842264, 0.391112, 5.466671, 0.154020, 0.842515, 0.390320, 5.453962, 123339.405823, 0.068614, 0.100944, 0.028267, 0.021880, -0.002179, 1.354213
23, 0.148531, 0.814398, 0.377314, 6.337525, 0.148542, 0.814661, 0.376669, 6.326330, 132753.893604, 0.069422, 0.100944, 0.028267, 0.021732, -0.000666, 1.458693
24, 0.154058, 0.842264, 0.391112, 5.466671, 0.154020, 0.842515, 0.390320, 5.453962, 123339.405823, 0.070814, 0.102813, 0.028267, 0.022297, -0.002179, 1.354213
25, 0.154058, 0.842264, 0.391112, 5.466671, 0.154020, 0.842515, 0.390320, 5.453962, 123339.405823, 0.072092, 0.102813, 0.028267, 0.022726, -0.002179, 1.354213
26, 0.148442, 0.813544, 0.377276, 7.470427, 0.148488, 0.813920, 0.376647, 7.460742, 141199.200512, 0.073358, 0.105016, 0.028267, 0.023167, 0.000333, 1.551080
