iter, hl, mif1, avp, log_loss, hl_val, mif1_val, avp_val, log_loss_val, sparsity, HV_mu, HV_max, HV_min, HV_std, weight_mu, weight_std
1, 0.475206, 0.898856, 0.747159, 24.135174, 0.475115, 0.898564, 0.746934, 24.115409, 25925.980931, 0.014579, 0.014579, 0.014579, 0.000000, -0.004539, 0.998016
2, 0.438417, 0.885946, 0.675755, 26.167030, 0.438376, 0.885897, 0.675478, 26.186302, 27191.207290, 0.018398, 0.022216, 0.014579, 0.003818, -0.007624, 1.046704
3, 0.438417, 0.885946, 0.675755, 26.167030, 0.438376, 0.885897, 0.675478, 26.186302, 27191.207290, 0.022612, 0.031042, 0.014579, 0.006727, -0.007624, 1.046704
4, 0.438417, 0.885946, 0.675755, 26.167030, 0.438376, 0.885897, 0.675478, 26.186302, 27191.207290, 0.025563, 0.034416, 0.014579, 0.007750, -0.007624, 1.046704
5, 0.403159, 0.882800, 0.567293, 21.202253, 0.403072, 0.882527, 0.567101, 21.200790, 18340.495033, 0.025758, 0.034416, 0.014579, 0.006942, -0.006272, 0.706276
6, 0.438417, 0.885946, 0.675755, 26.167030, 0.438376, 0.885897, 0.675478, 26.186302, 27191.207290, 0.026884, 0.034416, 0.014579, 0.006819, -0.007624, 1.046704
7, 0.438417, 0.885946, 0.675755, 26.167030, 0.438376, 0.885897, 0.675478, 26.186302, 27191.207290, 0.028607, 0.038947, 0.014579, 0.007595, -0.007624, 1.046704
1, 0.512775, 0.895094, 0.709592, 23.844075, 0.512775, 0.895087, 0.709181, 23.851575, 25788.187628, 0.017739, 0.017739, 0.017739, 0.000000, 0.005997, 0.994418
2, 0.512775, 0.895094, 0.709592, 23.844075, 0.512775, 0.895087, 0.709181, 23.851575, 25788.187628, 0.015770, 0.017739, 0.013800, 0.001970, 0.005997, 0.994418
3, 0.512775, 0.895094, 0.709592, 23.844075, 0.512775, 0.895087, 0.709181, 23.851575, 25788.187628, 0.016301, 0.017739, 0.013800, 0.001775, 0.005997, 0.994418
4, 0.422383, 0.867234, 0.709217, 19.579886, 0.422254, 0.867056, 0.708679, 19.586524, 16356.339072, 0.017003, 0.019110, 0.013800, 0.001960, 0.001410, 0.629550
5, 0.512775, 0.895094, 0.709592, 23.844075, 0.512775, 0.895087, 0.709181, 23.851575, 25788.187628, 0.018321, 0.023590, 0.013800, 0.003165, 0.005997, 0.994418
6, 0.512775, 0.895094, 0.709592, 23.844075, 0.512775, 0.895087, 0.709181, 23.851575, 25788.187628, 0.019718, 0.026703, 0.013800, 0.004255, 0.005997, 0.994418
7, 0.391775, 0.879344, 0.562129, 25.132809, 0.391683, 0.879001, 0.561873, 25.114247, 32771.003768, 0.022071, 0.036189, 0.013800, 0.006981, -0.001333, 1.263413
8, 0.339986, 0.852964, 0.639165, 21.258125, 0.339833, 0.852714, 0.638545, 21.256989, 23232.999792, 0.024972, 0.045285, 0.013800, 0.010079, -0.009419, 0.894191
