iter, hl, mif1, avp, log_loss, hl_val, mif1_val, avp_val, log_loss_val, sparsity, HV_mu, HV_max, HV_min, HV_std, weight_mu, weight_std
1, 0.301198, 0.780551, 0.678704, 9.163948, 0.301052, 0.780267, 0.677658, 9.141789, 9051.984872, 0.073627, 0.073627, 0.073627, 0.000000, 0.022436, 0.993336
2, 0.361683, 0.691100, 0.495925, 6.190767, 0.361664, 0.691101, 0.495217, 6.192363, 9538.859109, 0.089692, 0.105756, 0.073627, 0.016064, 0.001926, 1.046883
3, 0.361683, 0.691100, 0.495925, 6.190767, 0.361664, 0.691101, 0.495217, 6.192363, 9538.859109, 0.090817, 0.105756, 0.073627, 0.013213, 0.001926, 1.046883
4, 0.361683, 0.691100, 0.495925, 6.190767, 0.361664, 0.691101, 0.495217, 6.192363, 9538.859109, 0.097211, 0.116393, 0.073627, 0.015924, 0.001926, 1.046883
5, 0.261639, 0.678884, 0.489508, 6.399583, 0.261857, 0.679273, 0.488473, 6.401392, 6682.119217, 0.104030, 0.131307, 0.073627, 0.019720, 0.009691, 0.733961
6, 0.361683, 0.691100, 0.495925, 6.190767, 0.361664, 0.691101, 0.495217, 6.192363, 9538.859109, 0.108724, 0.132191, 0.073627, 0.020838, 0.001926, 1.046883
7, 0.170923, 0.601847, 0.460230, 7.292968, 0.171025, 0.602156, 0.459709, 7.303764, 11595.987304, 0.118646, 0.178178, 0.073627, 0.031030, 0.017504, 1.274246
8, 0.159928, 0.568438, 0.452451, 6.931632, 0.159943, 0.568424, 0.451635, 6.928155, 12085.306409, 0.128629, 0.198510, 0.073627, 0.039244, 0.005003, 1.325256
9, 0.159928, 0.568438, 0.452451, 6.931632, 0.159943, 0.568424, 0.451635, 6.928155, 12085.306409, 0.133653, 0.198510, 0.073627, 0.039635, 0.005003, 1.325256
10, 0.186661, 0.619648, 0.448142, 6.284019, 0.186632, 0.619671, 0.447476, 6.289045, 9437.363173, 0.136001, 0.198510, 0.073627, 0.038255, -0.000862, 1.037620
11, 0.159928, 0.568438, 0.452451, 6.931632, 0.159943, 0.568424, 0.451635, 6.928155, 12085.306409, 0.142228, 0.204494, 0.073627, 0.041450, 0.005003, 1.325256
12, 0.159928, 0.568438, 0.452451, 6.931632, 0.159943, 0.568424, 0.451635, 6.928155, 12085.306409, 0.148417, 0.216496, 0.073627, 0.044680, 0.005003, 1.325256
13, 0.115395, 0.561792, 0.449312, 6.670217, 0.115094, 0.560321, 0.448554, 6.666993, 10716.279464, 0.151495, 0.216496, 0.073627, 0.044232, 0.005126, 1.179696
14, 0.159928, 0.568438, 0.452451, 6.931632, 0.159943, 0.568424, 0.451635, 6.928155, 12085.306409, 0.154116, 0.216496, 0.073627, 0.043657, 0.005003, 1.325256
15, 0.159928, 0.568438, 0.452451, 6.931632, 0.159943, 0.568424, 0.451635, 6.928155, 12085.306409, 0.158705, 0.222950, 0.073627, 0.045538, 0.005003, 1.325256
16, 0.158748, 0.563679, 0.447855, 7.010333, 0.158774, 0.563858, 0.447117, 7.007630, 11871.502059, 0.162392, 0.222950, 0.073627, 0.046348, 0.006289, 1.306090
17, 0.159928, 0.568438, 0.452451, 6.931632, 0.159943, 0.568424, 0.451635, 6.928155, 12085.306409, 0.164868, 0.222950, 0.073627, 0.046041, 0.005003, 1.325256
18, 0.159928, 0.568438, 0.452451, 6.931632, 0.159943, 0.568424, 0.451635, 6.928155, 12085.306409, 0.167342, 0.222950, 0.073627, 0.045892, 0.005003, 1.325256
19, 0.157972, 0.563488, 0.461349, 6.789004, 0.158020, 0.563538, 0.461097, 6.790762, 12958.516680, 0.170457, 0.226532, 0.073627, 0.046582, 0.011567, 1.420481
20, 0.159928, 0.568438, 0.452451, 6.931632, 0.159943, 0.568424, 0.451635, 6.928155, 12085.306409, 0.172872, 0.226532, 0.073627, 0.046608, 0.005003, 1.325256
